DEBUG 2024-12-06 16:33:17,444 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\_encoded_words.py first seen with mtime 1729230828.5917325
DEBUG 2024-12-06 16:33:17,445 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\files\storage\handler.py first seen with mtime 1729230973.9560647
DEBUG 2024-12-06 16:33:17,446 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\views\generic\base.py first seen with mtime 1729230974.3909202
DEBUG 2024-12-06 16:33:17,447 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\__init__.py first seen with mtime 1729230823.434099
DEBUG 2024-12-06 16:33:17,448 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\PIL\TiffTags.py first seen with mtime 1732232418.031684
DEBUG 2024-12-06 16:33:17,450 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\urls\exceptions.py first seen with mtime 1729230974.3230855
DEBUG 2024-12-06 16:33:17,451 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1729230971.559674
DEBUG 2024-12-06 16:33:17,452 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\checks\__init__.py first seen with mtime 1729230973.9261174
DEBUG 2024-12-06 16:33:17,453 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\db\migrations\operations\special.py first seen with mtime 1729230974.1026452
DEBUG 2024-12-06 16:33:17,454 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\thread.py first seen with mtime 1729230828.2308314
DEBUG 2024-12-06 16:33:17,455 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\contrib\admin\apps.py first seen with mtime 1729230970.2885966
DEBUG 2024-12-06 16:33:17,456 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_common.py first seen with mtime 1729230829.9780636
DEBUG 2024-12-06 16:33:17,457 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_text.py first seen with mtime 1729230829.953547
DEBUG 2024-12-06 16:33:17,458 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1729230973.923126
DEBUG 2024-12-06 16:33:17,459 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\colorama\ansi.py first seen with mtime 1729238023.8814032
DEBUG 2024-12-06 16:33:17,460 autoreload File C:\xampp\htdocs\TEST\My_FirstProject\__init__.py first seen with mtime 1732163270.4086838
DEBUG 2024-12-06 16:33:17,461 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_tzpath.py first seen with mtime 1729230833.6627536
